scope_of_practice,work_setting,employment_type,is_this_their_current_practice,employer_postcode,organisation_name,organisation_country
Direct clinical care or management – public health,School,Self employed,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – mental health nursing,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – occupational health,Insurance or legal,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – adult and general care nursing,Voluntary or charity sector,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Commissioning,Ambulance service,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – occupational health,Governing body or other leadership,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
Education,Inspectorate or regulator,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Policy,Cosmetic or aesthetic sector,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – health visiting,Inspectorate or regulator,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Education,Specialist or other tertiary care including hospice,Volunteering,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – mental health nursing,Military,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – occupational health,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Quality assurance or inspection,Trade union or professional body,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Occupational health,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Military,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Commissioning,School,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – mental health nursing,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Other,Telephone or e-health advice,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – public health,Prison,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Education,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – health visiting,Occupational health,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – public health,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Specialist or other tertiary care including hospice,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Outside UK
Policy,Hospital or other secondary care,Employed via an agency,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – occupational health,School,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – public health,Military,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Quality assurance or inspection,Private domestic setting,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Quality assurance or inspection,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – adult and general care nursing,Inspectorate or regulator,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
Commissioning,GP practice or other primary care,Self employed,TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – midwifery,Prison,Self employed,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Police,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Policy,School,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – mental health nursing,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Hospital or other secondary care,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Cosmetic or aesthetic sector,Self employed,TRUE,testpostcode1,Test organisation 1,England
Commissioning,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Hospital or other secondary care,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Policy,Policy organisation,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,Consultancy,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Specialist or other tertiary care including hospice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – public health,Police,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – mental health nursing,Trade union or professional body,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
Other,Policy organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – midwifery,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Education,Policy organisation,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – mental health nursing,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – other,Public health organisation,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – health visiting,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,England
Commissioning,Military,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – midwifery,School,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,School,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – children’s and neo-natal nursing,Police,Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – school nursing,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Education,Prison,Self employed,FALSE,testpostcode2,Test organisation 1,England
Direct clinical care or management – health visiting,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Private domestic setting,Volunteering,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – occupational health,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
Education,Insurance or legal,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Telephone or e-health advice,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – other,Ambulance service,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – health visiting,Trade union or professional body,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Quality assurance or inspection,Governing body or other leadership,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Quality assurance or inspection,Private domestic setting,Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Research,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
Other,Telephone or e-health advice,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,Police,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – school nursing,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Maternity unit or birth centre,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
Other,Hospital or other secondary care,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – public health,School,Self employed,FALSE,testpostcode1,Test organisation 1,England
Policy,Public health organisation,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,Consultancy,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,England
Policy,Policy organisation,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Commissioning,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Research,Other,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Insurance or legal,Volunteering,TRUE,testpostcode2,Test organisation 1,England
Research,Insurance or legal,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – learning disabilities nursing,Occupational health,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – other,Private domestic setting,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,Police,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – public health,Governing body or other leadership,Volunteering,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Quality assurance or inspection,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Quality assurance or inspection,Voluntary or charity sector,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Education,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Education,Ambulance service,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – health visiting,Care home sector,Self employed,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – adult and general care nursing,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – learning disabilities nursing,Public health organisation,Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
Other,Public health organisation,Volunteering,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – occupational health,Care home sector,Self employed,FALSE,testpostcode1,Test organisation 2,England
Policy,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
Education,Police,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Education,Care home sector,Volunteering,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – public health,Care home sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Insurance or legal,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – midwifery,Other,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,Other,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,England
Policy,Private domestic setting,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – adult and general care nursing,Policy organisation,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – other,Policy organisation,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Research,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – other,Cosmetic or aesthetic sector,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – other,Other,Self employed,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Commissioning,University or other research facility,Self employed,TRUE,testpostcode2,Test organisation 1,Wales
Quality assurance or inspection,GP practice or other primary care,Employed via an agency,TRUE,testpostcode2,Test organisation 2,England
Other,Other,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – other,Insurance or legal,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Occupational health,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – school nursing,Voluntary or charity sector,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – school nursing,Trade union or professional body,Self employed,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,Policy organisation,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – midwifery,Ambulance service,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Research,Police,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Research,Maternity unit or birth centre,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – occupational health,Trade union or professional body,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode2,Test organisation 2,England
Direct clinical care or management – midwifery,Military,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – midwifery,Other,Self employed,FALSE,testpostcode1,Test organisation 2,England
Education,Voluntary or charity sector,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – health visiting,Specialist or other tertiary care including hospice,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Other,Trade union or professional body,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,University or other research facility,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Other,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – public health,Hospital or other secondary care,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Research,Military,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Voluntary or charity sector,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Inspectorate or regulator,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – adult and general care nursing,"Community setting, including district nursing and community psychiatric nursing",Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Outside UK
Commissioning,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,England
Research,Occupational health,Self employed,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – other,Public health organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Scotland
Education,Other,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Scotland
Education,Inspectorate or regulator,Volunteering,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – midwifery,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – mental health nursing,University or other research facility,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Quality assurance or inspection,School,Employed via an agency,TRUE,testpostcode2,Test organisation 2,Outside UK
Commissioning,Inspectorate or regulator,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Other,Police,Volunteering,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – occupational health,Other,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Prison,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – learning disabilities nursing,University or other research facility,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – midwifery,Cosmetic or aesthetic sector,Self employed,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – midwifery,Other,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – mental health nursing,Police,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Commissioning,Ambulance service,Self employed,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – other,Trade union or professional body,Volunteering,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – other,Policy organisation,Volunteering,FALSE,testpostcode1,Test organisation 1,Northern Ireland
Quality assurance or inspection,Insurance or legal,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Research,Private domestic setting,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Trade union or professional body,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Inspectorate or regulator,Volunteering,FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – school nursing,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,Care home sector,Volunteering,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – occupational health,Policy organisation,Volunteering,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,Telephone or e-health advice,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – mental health nursing,Occupational health,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – adult and general care nursing,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – children’s and neo-natal nursing,Telephone or e-health advice,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – adult and general care nursing,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Consultancy,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – adult and general care nursing,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – public health,University or other research facility,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
Commissioning,Ambulance service,Volunteering,TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – occupational health,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – school nursing,Consultancy,Self employed,FALSE,testpostcode1,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Governing body or other leadership,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – occupational health,Police,Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Other,Insurance or legal,Self employed,FALSE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – public health,Telephone or e-health advice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Other,Self employed,TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Other,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – school nursing,Telephone or e-health advice,Self employed,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Commissioning,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Policy,University or other research facility,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – adult and general care nursing,Maternity unit or birth centre,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,England
Quality assurance or inspection,Cosmetic or aesthetic sector,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – occupational health,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,Policy organisation,Self employed,FALSE,testpostcode2,Test organisation 1,Outside UK
Education,Maternity unit or birth centre,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – midwifery,School,Volunteering,FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – midwifery,Inspectorate or regulator,Employed via an agency,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – adult and general care nursing,Specialist or other tertiary care including hospice,Volunteering,FALSE,testpostcode2,Test organisation 2,England
Direct clinical care or management – learning disabilities nursing,Prison,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – public health,Prison,Self employed,FALSE,testpostcode1,Test organisation 1,Wales
Research,Policy organisation,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Public health organisation,Self employed,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – public health,Hospital or other secondary care,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – children’s and neo-natal nursing,Hospital or other secondary care,Self employed,TRUE,testpostcode2,Test organisation 2,Outside UK
Research,Cosmetic or aesthetic sector,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – learning disabilities nursing,School,Employed via an agency,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – public health,Governing body or other leadership,Volunteering,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – public health,Military,Volunteering,FALSE,testpostcode1,Test organisation 1,England
Quality assurance or inspection,Care home sector,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – health visiting,Police,Self employed,TRUE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – midwifery,Military,Volunteering,TRUE,testpostcode1,Test organisation 1,England
Other,Insurance or legal,Employed via an agency,FALSE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – learning disabilities nursing,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – adult and general care nursing,Other,Volunteering,FALSE,testpostcode1,Test organisation 1,Scotland
Education,Private domestic setting,Self employed,TRUE,testpostcode1,Test organisation 1,Outside UK
Commissioning,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – occupational health,Specialist or other tertiary care including hospice,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – occupational health,Public health organisation,Volunteering,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – health visiting,Prison,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – learning disabilities nursing,Police,Volunteering,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – occupational health,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 1,England
Direct clinical care or management – learning disabilities nursing,Military,Employed via an agency,FALSE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – occupational health,Insurance or legal,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – health visiting,Cosmetic or aesthetic sector,Volunteering,FALSE,testpostcode2,Test organisation 1,Northern Ireland
Direct clinical care or management – children’s and neo-natal nursing,Maternity unit or birth centre,Self employed,TRUE,testpostcode2,Test organisation 2,Wales
Education,Other,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,Scotland
Research,Public health organisation,Employed via an agency,FALSE,testpostcode2,Test organisation 1,Wales
Education,Consultancy,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Insurance or legal,Self employed,FALSE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – children’s and neo-natal nursing,Trade union or professional body,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,England
Direct clinical care or management – health visiting,Telephone or e-health advice,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Research,University or other research facility,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 2,Northern Ireland
Commissioning,Policy organisation,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – other,Voluntary or charity sector,Volunteering,FALSE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – occupational health,"Community setting, including district nursing and community psychiatric nursing",Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – other,Care home sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Direct clinical care or management – children’s and neo-natal nursing,Voluntary or charity sector,Self employed,TRUE,testpostcode2,Test organisation 2,England
Commissioning,Private domestic setting,Self employed,FALSE,testpostcode1,Test organisation 2,Scotland
Direct clinical care or management – midwifery,Prison,Volunteering,TRUE,testpostcode2,Test organisation 1,Scotland
Direct clinical care or management – other,Public health organisation,Self employed,TRUE,testpostcode1,Test organisation 1,Scotland
Direct clinical care or management – midwifery,Prison,Employed via an agency,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – public health,Policy organisation,Volunteering,FALSE,testpostcode2,Test organisation 1,Outside UK
Education,Voluntary or charity sector,Self employed,FALSE,testpostcode1,Test organisation 2,Wales
Direct clinical care or management – adult and general care nursing,Occupational health,Self employed,FALSE,testpostcode2,Test organisation 2,Northern Ireland
Direct clinical care or management – public health,Military,Self employed,TRUE,testpostcode1,Test organisation 1,Northern Ireland
Direct clinical care or management – public health,"Community setting, including district nursing and community psychiatric nursing",Volunteering,FALSE,testpostcode1,Test organisation 2,Scotland
Research,Voluntary or charity sector,Volunteering,FALSE,testpostcode2,Test organisation 2,Outside UK
Direct clinical care or management – public health,"Community setting, including district nursing and community psychiatric nursing",Employed via an agency,TRUE,testpostcode2,Test organisation 2,Scotland
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Self employed,TRUE,testpostcode1,Test organisation 2,England
Other,Governing body or other leadership,Self employed,TRUE,testpostcode1,Test organisation 2,Northern Ireland
Direct clinical care or management – other,Care home sector,Employed via an agency,TRUE,testpostcode1,Test organisation 1,England
Research,Military,Self employed,FALSE,testpostcode2,Test organisation 2,Wales
Direct clinical care or management – occupational health,Police,Volunteering,FALSE,testpostcode2,Test organisation 1,England
Quality assurance or inspection,Other,Employed via an agency,TRUE,testpostcode2,Test organisation 1,Outside UK
Direct clinical care or management – school nursing,Insurance or legal,Employed directly (not via UK agency),TRUE,testpostcode2,Test organisation 1,Scotland
Education,Private domestic setting,Employed directly (not via UK agency),FALSE,testpostcode1,Test organisation 2,Outside UK
Direct clinical care or management – school nursing,Hospital or other secondary care,Volunteering,TRUE,testpostcode1,Test organisation 1,Outside UK
Direct clinical care or management – midwifery,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode1,Test organisation 2,Wales
Quality assurance or inspection,Maternity unit or birth centre,Volunteering,FALSE,testpostcode2,Test organisation 1,Wales
Direct clinical care or management – mental health nursing,Maternity unit or birth centre,Employed via an agency,TRUE,testpostcode1,Test organisation 2,Scotland
Commissioning,Voluntary or charity sector,Employed directly (not via UK agency),TRUE,testpostcode1,Test organisation 1,England
Research,Ambulance service,Volunteering,TRUE,testpostcode1,Test organisation 1,Wales
Direct clinical care or management – adult and general care nursing,"Community setting, including district nursing and community psychiatric nursing",Self employed,TRUE,testpostcode1,Test organisation 2,England
Direct clinical care or management – other,Hospital or other secondary care,Employed directly (not via UK agency),FALSE,testpostcode2,Test organisation 1,Northern Ireland
Policy,Trade union or professional body,Self employed,FALSE,testpostcode2,Test organisation 2,Outside UK
Education,Cosmetic or aesthetic sector,Self employed,TRUE,testpostcode1,Test organisation 2,Wales
